Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2131,638,D24HourMean,QuarterlyMean,Mean,27.069764772
2131,639,D24HourMean,QuarterlyMean,Mean,26.836307234
2132,638,D24HourMean,QuarterlyMean,Mean,26.654628545
2132,639,D24HourMean,QuarterlyMean,Mean,26.652325537
2132,640,D24HourMean,QuarterlyMean,Mean,26.751011375
2133,638,D24HourMean,QuarterlyMean,Mean,26.359030614
2133,639,D24HourMean,QuarterlyMean,Mean,26.644593608
2133,640,D24HourMean,QuarterlyMean,Mean,26.958789718
2133,641,D24HourMean,QuarterlyMean,Mean,27.665439744
2133,642,D24HourMean,QuarterlyMean,Mean,28.355455093
2133,643,D24HourMean,QuarterlyMean,Mean,28.696864945
2134,638,D24HourMean,QuarterlyMean,Mean,26.526085234
2134,639,D24HourMean,QuarterlyMean,Mean,27.055344284
2134,640,D24HourMean,QuarterlyMean,Mean,26.319616385
2134,641,D24HourMean,QuarterlyMean,Mean,27.291238516
2134,642,D24HourMean,QuarterlyMean,Mean,28.754860675
2134,643,D24HourMean,QuarterlyMean,Mean,28.567626063
2135,637,D24HourMean,QuarterlyMean,Mean,25.933067515
2135,638,D24HourMean,QuarterlyMean,Mean,25.947290913
2135,639,D24HourMean,QuarterlyMean,Mean,26.289022642
2135,640,D24HourMean,QuarterlyMean,Mean,26.428737737
2135,641,D24HourMean,QuarterlyMean,Mean,27.780916429
2135,642,D24HourMean,QuarterlyMean,Mean,28.483995655
2135,643,D24HourMean,QuarterlyMean,Mean,28.775138316
2136,637,D24HourMean,QuarterlyMean,Mean,24.673173246
2136,638,D24HourMean,QuarterlyMean,Mean,24.633101278
2136,639,D24HourMean,QuarterlyMean,Mean,25.039192105
2136,640,D24HourMean,QuarterlyMean,Mean,24.795481985
2136,641,D24HourMean,QuarterlyMean,Mean,26.712706472
2136,642,D24HourMean,QuarterlyMean,Mean,28.647821183
2136,643,D24HourMean,QuarterlyMean,Mean,28.74978792
2136,644,D24HourMean,QuarterlyMean,Mean,28.966191252
2137,637,D24HourMean,QuarterlyMean,Mean,24.726219233
2137,638,D24HourMean,QuarterlyMean,Mean,25.217322984
2137,639,D24HourMean,QuarterlyMean,Mean,25.034792663
2137,640,D24HourMean,QuarterlyMean,Mean,24.701604719
2137,641,D24HourMean,QuarterlyMean,Mean,28.286768227
