IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,Cooking fuel,Coal,HOUSEHOLDCOOKINGFUEL_FUEL_COAL,,,,,,,0,,,0,,0.32,0 [0 - 0.32],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,Cooking fuel,Coal,HOUSEHOLDCOOKINGFUEL_FUEL_COAL,,,,,,,0,,,0,,0.73,0 [0 - 0.73],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,Cooking fuel,Coal,HOUSEHOLDCOOKINGFUEL_FUEL_COAL,,,,,,,0,,,0,,0.83,0 [0 - 0.83],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,Cooking fuel,Kerosene,HOUSEHOLDCOOKINGFUEL_FUEL_KEROSENE,,,,,,,0,,,0,,0.86,0 [0 - 0.86],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,Cooking fuel,Gas,HOUSEHOLDCOOKINGFUEL_FUEL_GAS,,,,,,,0.027,,,0,,0.59,0.03 [0 - 0.59],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,Cooking fuel,Gas,HOUSEHOLDCOOKINGFUEL_FUEL_GAS,,,,,,,0.091,,,0,,1.1,0.09 [0 - 1.1],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,Cooking fuel,Kerosene,HOUSEHOLDCOOKINGFUEL_FUEL_KEROSENE,,,,,,,0.091,,,0,,1.28,0.09 [0 - 1.28],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,Cooking fuel,Gas,HOUSEHOLDCOOKINGFUEL_FUEL_GAS,,,,,,,0.12,,,0,,1.65,0.12 [0 - 1.65],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,Cooking fuel,Kerosene,HOUSEHOLDCOOKINGFUEL_FUEL_KEROSENE,,,,,,,0.12,,,0,,2.01,0.12 [0 - 2.01],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,Cooking fuel,Electricity,HOUSEHOLDCOOKINGFUEL_FUEL_ELECTRICITY,,,,,,,0.37,,,0,,3.47,0.37 [0 - 3.47],,,EN,2024-07-01T04:00:00.000Z
