Country,Data Source,Year,Total (Number),Female (Number),Male (Number)
Ethiopia,World Population Prospects 2022,2023,126527060,62981355,63545705
Ethiopia,World Population Prospects 2022,2022,123379925,61399750,61980175
Ethiopia,World Population Prospects 2022,2021,120283026,59839622,60443405
Ethiopia,World Population Prospects 2022,2020,117190911,58284362,58906550
Ethiopia,World Population Prospects 2022,2019,114120594,56745161,57375433
Ethiopia,World Population Prospects 2022,2018,111129438,55246462,55882976
Ethiopia,World Population Prospects 2022,2017,108197950,53779101,54418849
Ethiopia,World Population Prospects 2022,2016,105293229,52324690,52968539
Ethiopia,World Population Prospects 2022,2015,102471896,50911434,51560462
Ethiopia,World Population Prospects 2022,2014,99746767,49550413,50196354
Ethiopia,World Population Prospects 2022,2013,97084366,48222340,48862026
Ethiopia,World Population Prospects 2022,2012,94451280,46910795,47540485
Ethiopia,World Population Prospects 2022,2011,91817930,45602329,46215601
Ethiopia,World Population Prospects 2022,2010,89237791,44321299,44916492
Ethiopia,World Population Prospects 2022,2009,86755585,43088297,43667289
Ethiopia,World Population Prospects 2022,2008,84357105,41898913,42458192
Ethiopia,World Population Prospects 2022,2007,81996185,40732253,41263932
Ethiopia,World Population Prospects 2022,2006,79691050,39597926,40093124
Ethiopia,World Population Prospects 2022,2005,77469941,38508936,38961005
Ethiopia,World Population Prospects 2022,2004,75301026,37448428,37852598
Ethiopia,World Population Prospects 2022,2003,73168839,36408151,36760688
Ethiopia,World Population Prospects 2022,2002,71073215,35386878,35686337
Ethiopia,World Population Prospects 2022,2001,69018933,34388876,34630057
Ethiopia,World Population Prospects 2022,2000,67031867,33426506,33605362
Ethiopia,World Population Prospects 2022,1999,65077580,32472080,32605500
Ethiopia,World Population Prospects 2022,1998,63136494,31519521,31616973
Ethiopia,World Population Prospects 2022,1997,61233480,30590429,30643051
Ethiopia,World Population Prospects 2022,1996,59347649,29668565,29679084
Ethiopia,World Population Prospects 2022,1995,57476536,28748462,28728074
Ethiopia,World Population Prospects 2022,1994,55620211,27834735,27785476
Ethiopia,World Population Prospects 2022,1993,53791672,26937213,26854459
Ethiopia,World Population Prospects 2022,1992,52011554,26062905,25948650
Ethiopia,World Population Prospects 2022,1991,49937430,25049896,24887534
Ethiopia,World Population Prospects 2022,1990,47878074,24040457,23837617
Ethiopia,World Population Prospects 2022,1989,46195954,23207701,22988253
Ethiopia,World Population Prospects 2022,1988,44511537,22377644,22133893
Ethiopia,World Population Prospects 2022,1987,42851957,21562673,21289284
Ethiopia,World Population Prospects 2022,1986,41455309,20875844,20579465
Ethiopia,World Population Prospects 2022,1985,40285965,20298814,19987151
Ethiopia,World Population Prospects 2022,1984,39202890,19759678,19443213
Ethiopia,World Population Prospects 2022,1983,38235187,19273671,18961516
Ethiopia,World Population Prospects 2022,1982,37213393,18760631,18452762
Ethiopia,World Population Prospects 2022,1981,35818845,18060602,17758243
Ethiopia,World Population Prospects 2022,1980,34945470,17623100,17322370
